Week,Phase,Topic,Books,GitHub Repos,Free Tools,Deliverable
1-2,Phase 2,LangChain Basics,LangChain AI Handbook (Briggs, Ingham); Building LLM Powered Applications (Alto),https://github.com/langchain-ai/langchain/tree/master/cookbook; https://github.com/langchain-ai/langchain-academy,"LangChain, LangServe, Ollama",Simple LangChain agent
3-4,Phase 2,LangChain Agents & Tools,LangChain AI Handbook,https://github.com/langchain-ai/langchain/tree/master/templates; https://github.com/langchain-ai/rag-from-scratch,"LangChain, Tavily API, LangSmith",ReAct agent with tools
5-6,Phase 2,LangChain Memory Systems,Building LLM Powered Applications,https://github.com/langchain-ai/langchain/tree/master/cookbook; https://github.com/langchain-ai/langchain/tree/master/templates,"LangChain, ChromaDB, Redis",Conversational agent with memory
7-8,Phase 2,LangGraph Fundamentals,Agentic AI Patterns (DeepLearning.AI),https://github.com/langchain-ai/langgraph/tree/main/examples; https://github.com/langchain-ai/langgraph/tree/main/examples/templates,"LangGraph, LangGraph Studio, SQLite",State machine agent
9-10,Phase 2,LangGraph Advanced Workflows,Building Multi-Agent Systems with LangGraph,https://github.com/langchain-ai/langgraph-example; https://github.com/langchain-ai/langchain/blob/master/cookbook/langgraph_react_agent.ipynb,"LangGraph, Redis, PostgreSQL",Complex multi-step workflow
11-12,Phase 2,AutoGen Basics,AutoGen Documentation (Microsoft Research),https://github.com/microsoft/autogen/tree/main/notebook; https://github.com/microsoft/autogen/tree/main/samples/apps/autogen-studio,"AutoGen, AutoGen Studio, Docker",Conversable agents
13-14,Phase 2,AutoGen Multi-Agent,Multi-Agent Systems (Weiss),https://github.com/microsoft/autogen/blob/main/notebook/agentchat_groupchat.ipynb; https://github.com/microsoft/autogen/tree/main/website/docs/Examples,"AutoGen, Docker, Ollama",Multi-agent collaboration
15-16,Phase 2,Semantic Kernel Basics,Semantic Kernel Documentation (Microsoft),https://github.com/microsoft/semantic-kernel/tree/main/python/samples; https://github.com/microsoft/semantic-kernel/tree/main/python/samples/concepts/plugins,"Semantic Kernel, Azure OpenAI, SQLite",SK plugin system
17-18,Phase 2,Semantic Kernel Planners,Building AI Applications with SK,https://github.com/microsoft/semantic-kernel/tree/main/python/samples/concepts/planners; https://github.com/microsoft/semantic-kernel/tree/main/docs,"Semantic Kernel, Ollama",Planning agent with SK
19-20,Phase 3,Azure AI Agents,Azure AI Services (Microsoft); Serverless Architectures on Azure (Indrasiri),https://github.com/Azure-Samples/azure-ai-agent-service; https://github.com/Azure-Samples/azure-functions-python-samples,"Azure Free Tier, Azure Functions, Logic Apps",Azure-based agent
21-22,Phase 3,Azure Functions for Agents,Serverless Architectures on Azure,https://github.com/Azure/azure-functions-durable-extension; https://github.com/Azure/logicapps,"Azure Functions, Azure Container Instances",Serverless agent tools
23-24,Phase 3,Databricks Agent Workflows,Databricks Workflows Guide; MLflow in Action,https://github.com/databricks-industry-solutions/agent-framework-notebooks; https://github.com/databricks-demos/unity-catalog-ml,"Databricks Community Edition, MLflow, Unity Catalog",Production agent on Databricks
25-26,Phase 3,MLflow AI Gateway,MLflow Documentation,https://github.com/mlflow/mlflow/tree/master/examples/gateway; https://github.com/databricks-industry-solutions/agent-framework-notebooks,"MLflow, Databricks, Delta Lake",Multi-provider agent gateway
27-28,Phase 4,Production Multi-Agent,Designing Multi-Agent Systems (O'Reilly); Production-Ready Applied DL (Luu),https://github.com/joaomdmoura/crewAI; https://github.com/geekan/MetaGPT,"CrewAI, MetaGPT",Role-based agent system
29-30,Phase 4,Agent Safety & Validation,Production-Ready Applied Deep Learning,https://github.com/guardrails-ai/guardrails; https://github.com/AgentOps-AI/agentops,"Guardrails AI, AgentOps",Agent safety mechanisms
31-32,Phase 4,Agent Monitoring & Observability,Reliable Machine Learning (Chen),https://github.com/langfuse/langfuse; https://github.com/Arize-ai/phoenix,"LangFuse, Phoenix Arize, Prometheus, Grafana",Agent monitoring dashboard
